project,good_decl,bad_decl,for_if,while_if,do_if,for_switch,while_switch,do_switch,known_test,known_build,ascii_test,ascii_build
1,1,1,0,1,0,0,0,0,1.0,1,1.0,1
10,1,1,0,0,0,0,0,0,1.0,1,1.0,1
100,1,1,0,0,0,0,0,0,,0,,0
101,1,1,0,0,0,0,0,0,0.0,1,0.0,1
102,0,0,0,0,0,0,0,0,,0,,0
103,1,1,0,0,0,0,0,0,0.0,1,0.0,1
104,1,1,0,0,0,0,0,0,,0,,0
105,1,1,1,0,0,0,0,0,,0,,0
106,1,1,0,1,0,0,0,0,,0,,0
107,0,0,0,0,0,0,0,0,,0,,0
108,1,1,3,0,0,0,0,0,0.0,1,0.0,1
109,1,1,0,0,0,0,0,0,0.0,1,0.0,1
11,1,1,2,0,0,0,0,0,,0,,0
110,1,1,0,0,0,0,0,0,,0,,0
111,0,1,0,0,0,0,0,0,,0,,0
112,1,1,0,0,0,0,0,0,,0,,0
113,1,1,0,1,0,0,0,0,0.0,1,0.0,1
114,1,1,0,0,0,0,0,0,,0,,0
115,1,1,0,0,0,0,0,0,,0,,0
116,1,1,1,0,0,0,0,0,0.0,1,0.0,1
117,1,1,0,0,0,0,0,0,0.0,1,0.0,1
118,1,1,0,0,0,0,0,0,0.0,1,0.0,1
119,1,1,0,0,0,0,0,0,,0,,0
12,0,1,0,3,0,0,0,0,0.0,1,0.0,1
120,1,1,0,0,0,0,0,0,,0,,0
121,1,1,2,0,0,0,0,0,0.0,1,0.0,1
122,1,1,0,0,0,0,0,0,,0,,0
123,1,1,0,1,0,0,0,0,1.0,1,1.0,1
124,1,1,1,0,0,0,0,0,1.0,1,1.0,1
125,0,0,0,0,0,0,0,0,,0,,0
126,1,1,1,0,0,0,0,0,,0,,0
127,1,1,0,0,0,0,0,0,,0,,0
128,1,1,2,0,0,0,0,0,0.0,1,0.0,1
129,1,1,0,1,0,0,0,0,1.0,1,1.0,1
13,1,1,0,2,0,0,0,0,1.0,1,1.0,1
130,1,1,1,0,0,0,0,0,1.0,1,1.0,1
131,1,1,0,0,0,0,0,0,,0,,0
132,1,1,0,2,0,0,0,0,,0,,0
133,1,1,0,0,0,0,0,0,0.0,1,0.0,1
134,1,1,2,0,0,0,0,0,0.0,1,0.0,1
135,1,1,0,0,0,0,0,0,0.0,1,0.0,1
136,1,1,0,0,0,0,0,0,,0,,0
137,1,1,1,0,0,0,0,0,0.0,1,0.0,1
138,0,1,1,0,0,0,0,0,1.0,1,1.0,1
139,1,1,0,1,0,0,0,0,0.0,1,0.0,1
14,1,1,0,0,0,0,0,0,,0,,0
140,1,1,0,1,0,0,0,0,,0,,0
141,1,1,0,0,0,0,0,0,,0,,0
142,1,1,0,0,0,0,0,0,,0,,0
143,1,1,1,0,0,0,0,0,0.0,1,0.0,1
144,1,1,1,0,0,0,0,0,1.0,1,1.0,1
145,0,0,0,0,0,0,0,0,,0,,0
146,0,0,0,0,0,0,0,0,,0,,0
147,0,1,1,0,0,0,0,0,0.0,1,0.0,1
148,0,0,0,0,0,0,0,0,,0,,0
149,1,1,0,0,0,0,0,0,1.0,1,1.0,1
15,1,1,1,0,0,0,0,0,,1,,1
150,0,0,0,0,0,0,0,0,,0,,0
151,1,1,1,0,0,0,0,0,0.0,1,0.0,1
152,1,1,0,2,0,0,0,0,,1,,1
153,1,1,0,2,0,0,0,0,0.0,1,0.0,1
154,0,0,0,0,0,0,0,0,,0,,0
155,1,1,0,0,0,0,0,0,,0,,0
156,0,0,0,0,0,0,0,0,,0,,0
157,1,1,0,0,0,0,0,0,,0,,0
158,0,1,0,0,0,0,0,0,,0,,0
159,1,1,20,0,0,0,0,0,,1,,1
16,1,1,1,0,0,0,0,0,0.0,1,0.0,1
160,1,1,2,0,0,0,0,0,0.0,1,0.0,1
161,1,1,0,0,0,0,0,0,0.0,1,0.0,1
162,1,1,0,2,0,0,0,0,1.0,1,1.0,1
163,1,1,2,0,0,0,0,0,0.0,1,0.0,1
164,1,1,0,1,0,0,0,0,0.0,1,0.0,1
165,1,1,1,0,0,0,0,0,0.0,1,0.0,1
166,0,1,0,0,0,1,0,0,0.0,1,0.0,1
167,1,1,2,0,0,0,0,0,,0,,0
168,1,1,0,1,0,0,0,0,0.0,1,0.0,1
169,1,1,1,0,0,0,0,0,0.0,1,,1
17,0,1,0,0,0,0,0,0,,0,,0
170,1,1,0,1,0,0,0,0,0.0,1,0.0,1
171,1,1,0,1,0,0,0,0,0.0,1,0.0,1
172,1,1,22,0,0,0,0,0,0.0,1,0.0,1
173,1,1,0,2,0,0,0,0,0.0,1,0.0,1
174,0,0,0,0,0,0,0,0,,0,,0
175,1,1,1,0,0,0,0,0,0.0,1,0.0,1
176,1,1,0,2,0,0,0,0,1.0,1,1.0,1
177,1,1,0,0,0,0,0,0,,0,,0
178,1,1,0,4,0,0,0,0,0.0,1,0.0,1
179,1,1,0,1,0,0,0,0,1.0,1,1.0,1
18,1,1,1,0,0,0,0,0,1.0,1,1.0,1
180,1,1,0,0,0,0,0,0,0.0,1,0.0,1
181,1,1,0,0,0,0,0,0,,0,,0
182,0,1,1,0,0,0,0,0,,0,,0
183,1,1,1,0,0,0,0,0,0.0,1,0.0,1
184,1,1,0,1,0,0,0,0,0.0,1,0.0,1
185,1,1,1,0,0,0,0,0,0.0,1,0.0,1
186,1,1,3,0,0,0,0,0,0.0,1,0.0,1
187,1,1,1,0,0,0,0,0,0.0,1,0.0,1
188,1,1,0,0,0,0,0,0,,0,,0
189,1,1,0,1,0,0,0,0,0.0,1,0.0,1
19,1,1,0,0,0,0,0,0,,0,,0
190,1,1,0,0,0,0,0,0,1.0,1,1.0,1
191,0,1,2,0,0,0,0,0,0.0,1,0.0,1
192,0,1,1,0,0,0,0,0,0.0,1,0.0,1
193,1,1,0,0,0,0,0,0,,0,,0
194,1,1,0,0,0,0,0,0,,0,,0
195,1,1,0,0,0,0,0,0,0.0,1,0.0,1
196,1,1,0,1,0,0,0,0,0.0,1,0.0,1
197,1,1,0,1,0,0,0,0,0.0,1,0.0,1
2,1,1,0,0,0,0,0,0,,0,,0
20,1,1,0,1,0,0,0,0,1.0,1,1.0,1
21,1,1,2,0,0,0,0,0,0.0,1,0.0,1
22,1,1,0,0,0,0,0,0,,0,,0
23,1,1,1,0,0,0,0,0,,0,,0
24,0,1,0,3,0,0,0,0,0.0,1,0.0,1
25,1,1,0,1,0,0,0,0,0.0,1,0.0,1
26,1,1,0,0,0,0,0,0,0.0,1,0.0,1
27,1,1,1,0,0,0,0,0,,0,,0
28,1,1,0,0,0,1,0,0,,0,,0
29,1,1,0,2,0,0,0,0,0.0,1,0.0,1
3,1,1,0,0,0,0,0,0,0.0,1,0.0,1
30,1,1,1,0,0,0,0,0,,0,,0
31,1,1,0,0,0,0,0,0,,0,,0
32,1,1,0,1,0,0,0,0,0.0,1,0.0,1
33,1,1,1,0,0,0,0,0,0.0,1,0.0,1
34,1,1,0,0,0,0,0,0,,0,,0
35,1,1,1,0,0,0,0,0,1.0,1,1.0,1
36,1,1,1,1,0,0,0,0,0.0,1,0.0,1
37,1,1,2,0,0,0,0,0,,0,,0
38,0,0,0,0,0,0,0,0,,0,,0
39,1,1,2,0,0,0,0,0,0.0,1,0.0,1
4,1,1,1,0,0,0,0,0,1.0,1,1.0,1
40,1,1,0,0,0,0,0,0,,0,,0
41,1,1,0,2,0,0,0,0,0.0,1,0.0,1
42,1,1,0,0,0,0,0,0,,0,,0
43,1,1,0,1,0,0,0,0,1.0,1,1.0,1
44,1,1,1,0,0,0,0,0,0.0,1,0.0,1
45,1,1,0,0,0,0,0,0,0.0,1,0.0,1
46,1,1,1,0,0,0,0,0,1.0,1,1.0,1
47,1,1,2,0,0,0,0,0,0.0,1,0.0,1
48,1,1,2,0,0,0,0,0,0.0,1,0.0,1
49,1,1,0,2,0,0,0,0,1.0,1,1.0,1
5,0,0,0,0,0,0,0,0,,0,,0
50,1,1,1,0,0,0,0,0,,0,,0
51,1,1,20,0,0,0,0,0,1.0,1,1.0,1
52,1,1,0,2,0,0,0,0,0.0,1,0.0,1
53,0,0,0,0,0,0,0,0,,0,,0
54,1,1,0,1,0,0,0,0,1.0,1,1.0,1
55,1,1,0,0,0,0,0,0,,0,,0
56,1,1,7,0,0,0,0,0,,0,,0
57,1,1,0,0,0,0,0,0,,0,,0
58,0,1,1,0,0,0,0,0,0.0,1,0.0,1
59,1,1,1,0,0,0,0,0,0.0,1,0.0,1
6,1,1,1,0,0,0,0,0,0.0,1,0.0,1
60,1,1,2,0,0,0,0,0,0.0,1,0.0,1
61,1,1,0,3,0,0,0,0,,1,,1
62,1,1,1,0,0,0,0,0,0.0,1,0.0,1
63,1,1,1,0,0,0,0,0,0.0,1,0.0,1
64,0,1,2,0,0,0,0,0,0.0,1,0.0,1
65,1,1,0,6,0,0,0,0,,0,,0
66,1,1,2,0,0,0,0,0,,1,,1
67,1,1,1,0,0,0,0,0,0.0,1,0.0,1
68,1,1,0,1,0,0,0,0,1.0,1,1.0,1
69,1,1,1,0,0,0,0,0,1.0,1,1.0,1
7,1,1,0,0,0,0,0,0,,0,,0
70,1,1,0,2,0,0,0,0,0.0,1,0.0,1
71,1,1,0,0,0,0,0,0,1.0,1,1.0,1
72,1,1,0,0,0,0,0,0,,0,,0
73,1,1,1,0,0,0,0,0,0.0,1,0.0,1
74,1,1,0,2,0,0,0,0,0.0,1,0.0,1
75,1,1,1,0,0,0,0,0,0.0,1,0.0,1
76,1,1,0,1,0,0,0,0,,0,,0
77,1,1,1,0,0,0,0,0,0.0,1,0.0,1
78,1,1,0,0,0,0,0,0,,0,,0
79,0,1,0,0,0,0,0,0,,0,,0
8,1,1,0,1,0,0,0,0,1.0,1,1.0,1
80,0,1,0,3,0,0,0,0,0.0,1,0.0,1
81,1,1,0,6,0,0,0,0,,1,,1
82,1,1,0,0,0,0,0,0,0.0,1,0.0,1
83,1,1,0,2,0,0,0,0,0.0,1,0.0,1
84,1,1,2,0,0,0,0,0,1.0,1,1.0,1
85,1,1,0,0,0,0,0,0,,0,,0
86,0,1,0,2,0,0,0,0,0.0,1,0.0,1
87,0,0,0,0,0,0,0,0,,0,,0
88,1,1,0,0,0,0,0,0,1.0,1,1.0,1
89,1,1,0,20,0,0,0,0,,0,,0
9,1,1,1,0,0,0,0,0,0.0,1,0.0,1
90,1,1,2,0,0,0,0,0,,0,,0
91,1,1,1,0,0,0,0,0,0.0,1,0.0,1
92,1,1,0,0,0,0,0,0,,0,,0
93,1,1,0,0,0,0,0,0,,0,,0
94,1,1,0,0,0,0,0,0,0.0,1,0.0,1
95,1,1,1,0,0,0,0,0,0.0,1,0.0,1
96,1,1,0,0,0,0,0,0,,0,,0
97,1,1,0,0,0,0,0,0,,0,,0
98,1,1,0,1,0,0,0,0,0.0,1,0.0,1
99,1,1,1,0,0,0,0,0,,0,,0
